latitude,longitude,name,abbreviation,Wikipedia link
25,104,ASEAN Taxonomy version 1,"ASEAN Capital Markets Forum (ACMF), the ASEAN Insurance Regulators Meeting (AIRM), the ASEAN Senior Level Committee on Financial Integration (SLC), and the ASEAN Working Committee on Capital Market Development (WC-CMD)",https://asean.org/wp-content/uploads/2021/11/ASEAN-Taxonomy.pdf
23.685,90.3563,Sustainable Finance Policy for Banks and Financial Institutions,Bandladesh Bank (BB),http://documents1.worldbank.org/curated/en/953011593410423487/pdf/Developing-a-National-Green-Taxonomy-A-World-Bank-Guide.pdf ; https://www.bb.org.bd/mediaroom/circulars/gbcrd/dec312020sfd05.pdf
56.1304,-106.3468,Transition Finance Taxonomy,Government of Canada,https://publications.gc.ca/collections/collection_2019/eccc/En4-350-2-2019-eng.pdf ; https://www.csagroup.org/news/defining-transition-finance-in-canada/
35.8617,104.1954,Green Bond Endorsed-Projects Catalogue,"People's Bank of China, National Development and Reform Commission, and the China Securities Regulatory Commission",http://www.pbc.gov.cn/goutongjiaoliu/113456/113469/4236341/index.html
30.9756,112.2707,Green Industry Guidance Catalogue (2019 Edition),"National Development and Reform Commission, Ministry of Industry and Information Technology, Ministry of Natural Resources, Ministry of Ecology and Environment, Ministry of Housing and Urban-Rural Development, People's Bank of China, National Energy Administration",https://www.ndrc.gov.cn/fggz/hjyzy/stwmjs/201903/t20190305_1220625.html
50,15,Regulation (EU) 2020/852 (EU Taxonomy),European Union,https://eur-lex.europa.eu/legal-content/EN/TXT/?toc=OJ%3AL%3A2020%3A198%3ATOC&uri=uriserv%3AOJ.L_.2020.198.01.0013.01.ENG; https://ec.europa.eu/info/business-economy-euro/banking-and-finance/sustainable-finance/eu-taxonomy-sustainable-activities_en; https://ec.europa.eu/info/publications/220202-sustainable-finance-taxonomy-complementary-climate-delegated-act_en; https://ec.europa.eu/info/files/220330-sustainable-finance-platform-finance-report-remaining-environmental-objectives-taxonomy_en
47.1625,19.5033,Social Taxonomy,European Union,https://ec.europa.eu/info/sites/default/files/business_economy_euro/banking_and_finance/documents/280222-sustainable-finance-platform-finance-report-social-taxonomy.pdf; https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:32020R0852
17.385044,78.486671,Common Ground Taxonomy - Instruction report,International Platform on Sustainable Finance (IPSF),https://ec.europa.eu/info/files/international-platform-sustainable-finance-common-ground-taxonomy-report-2021_en
48.0196,66.9237,Concept on introduction and development of green finance instruments and principles,AIFC Green Finance Centre,https://gfc.aifc.kz/uploads/Concept%20on%20introduction%20and%20development%20of%20green%20finance%20instruments%20and%20principles.pdf
4.2105,101.9758,Climate Change and Principle-based Taxonomy,Bank Negara Malaysia (Central Bank of Malaysia),https://www.bnm.gov.my/documents/20124/938039/Climate+Change+and+Principle-based+Taxonomy.pdf
46.8625,103.8467,Mongolia Green Taxonomy,Financial Stability Commission of Mongolia,https://www.greenfinanceplatform.org/policies-and-regulations/mongolia-green-taxonomy ; https://www.ifc.org/wps/wcm/connect/0c296cd3-be1e-4e2f-a6cb-f507ad7bdfe9/Mongolia+Green+Taxanomy+ENG+PDF+for+publishing.pdf?MOD=AJPERES&CVID=nikyhIh ; http://documents1.worldbank.org/curated/en/953011593410423487/pdf/Developing-a-National-Green-Taxonomy-A-World-Bank-Guide.pdf
61.524,105.3188,Green Taxonomy,Vnesheconombank (VEB),http://publication.pravo.gov.ru/Document/View/0001202109240043
1.3521,103.8198,Green and transition taxonomy,Green Finance Industry Taskforce (GFIT),https://abs.org.sg/industry-guidelines/gfit-taxonomy-public-consultation
-30.5595,22.9375,South African Green Finance Taxonomy,"National Treasury of the republic of South Africa with the IFC, Carbon Trust and NBI",https://sustainablefinanceinitiative.org.za/taxonomy/
