Latitude,Longitude,Name,Link
25,104,A,https://asean.org/wp-content/uploads/2021/11/ASEAN-Taxonomy.pdf
23.685,90.3563,B,http://documents1.worldbank.org/curated/en/953011593410423487/pdf/Developing-a-National-Green-Taxonomy-A-World-Bank-Guide.pdf ; https://www.bb.org.bd/mediaroom/circulars/gbcrd/dec312020sfd05.pdf
56.1304,-106.3468,C,https://publications.gc.ca/collections/collection_2019/eccc/En4-350-2-2019-eng.pdf ; https://www.csagroup.org/news/defining-transition-finance-in-canada/
35.8617,104.1954,D,http://www.pbc.gov.cn/goutongjiaoliu/113456/113469/4236341/index.html
30.9756,112.2707,E,https://www.ndrc.gov.cn/fggz/hjyzy/stwmjs/201903/t20190305_1220625.html
50,15,F,https://eur-lex.europa.eu/legal-content/EN/TXT/?toc=OJ%3AL%3A2020%3A198%3ATOC&uri=uriserv%3AOJ.L_.2020.198.01.0013.01.ENG; https://ec.europa.eu/info/business-economy-euro/banking-and-finance/sustainable-finance/eu-taxonomy-sustainable-activities_en; https://ec.europa.eu/info/publications/220202-sustainable-finance-taxonomy-complementary-climate-delegated-act_en; https://ec.europa.eu/info/files/220330-sustainable-finance-platform-finance-report-remaining-environmental-objectives-taxonomy_en
47.1625,19.5033,G,https://ec.europa.eu/info/sites/default/files/business_economy_euro/banking_and_finance/documents/280222-sustainable-finance-platform-finance-report-social-taxonomy.pdf; https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:32020R0852
17.385044,78.486671,H,https://ec.europa.eu/info/files/international-platform-sustainable-finance-common-ground-taxonomy-report-2021_en
48.0196,66.9237,I,https://gfc.aifc.kz/uploads/Concept%20on%20introduction%20and%20development%20of%20green%20finance%20instruments%20and%20principles.pdf
4.2105,101.9758,J,https://www.bnm.gov.my/documents/20124/938039/Climate+Change+and+Principle-based+Taxonomy.pdf
46.8625,103.8467,K,https://www.greenfinanceplatform.org/policies-and-regulations/mongolia-green-taxonomy ; https://www.ifc.org/wps/wcm/connect/0c296cd3-be1e-4e2f-a6cb-f507ad7bdfe9/Mongolia+Green+Taxanomy+ENG+PDF+for+publishing.pdf?MOD=AJPERES&CVID=nikyhIh ; http://documents1.worldbank.org/curated/en/953011593410423487/pdf/Developing-a-National-Green-Taxonomy-A-World-Bank-Guide.pdf
61.524,105.3188,L,http://publication.pravo.gov.ru/Document/View/0001202109240043
1.3521,103.8198,M,https://abs.org.sg/industry-guidelines/gfit-taxonomy-public-consultation
-30.5595,22.9375,N,https://sustainablefinanceinitiative.org.za/taxonomy/
